,Unnamed: 0,Unvan,Link,Tarix,Qiymet,rooms,floor,area
1396,1396,İnşaatçılar m.,https://bina.az//items/3525683,dünən 18:45,185 000AZN,2 otaq,8/8,90 m²
1397,1397,8 Noyabr m.,https://bina.az//items/3631088,dünən 18:45,274 500AZN,3 otaq,8/14,150 m²
1398,1398,Gənclik m.,https://bina.az//items/3348906,dünən 18:45,445 000AZN,4 otaq,10/16,212 m²
1399,1399,28 May m.,https://bina.az//items/3561624,dünən 18:45,159 000AZN,1 otaq,14/18,60 m²
1400,1400,Nəriman Nərimanov m.,https://bina.az//items/3198531,dünən 18:44,735 000AZN,3 otaq,14/19,650 m²
1401,1401,Nəriman Nərimanov m.,https://bina.az//items/3566205,dünən 18:44,360 000AZN,3 otaq,10/19,155 m²
1402,1402,28 May m.,https://bina.az//items/3556548,dünən 18:44,322 000AZN,3 otaq,15/16,119 m²
1403,1403,28 May m.,https://bina.az//items/3559130,dünən 18:44,340 000AZN,1 otaq,10/15,148 m²
1404,1404,28 May m.,https://bina.az//items/3561625,dünən 18:44,159 000AZN,3 otaq,7/16,75 m²
1405,1405,Abşeron r.,https://bina.az//items/3607806,dünən 18:44,126 500AZN,2 otaq,10/17,110 m²
1406,1406,28 May m.,https://bina.az//items/3561627,dünən 18:44,199 000AZN,3 otaq,18/18,100 m²
1407,1407,Nizami m.,https://bina.az//items/3582172,dünən 18:44,395 000AZN,3 otaq,12/16,75 m²
1408,1408,28 May m.,https://bina.az//items/3605371,dünən 18:43,195 000AZN,4 otaq,8/18,29 m²
1409,1409,Buzovna q.,https://bina.az//items/3631081,dünən 18:43,120 000AZN,3 otaq,8/16,120 m²
1410,1410,Nəsimi m.,https://bina.az//items/3610459,dünən 18:43,179 500AZN,4 otaq,1/5,90 m²
1411,1411,Gənclik m.,https://bina.az//items/3631080,dünən 18:42,398 000AZN,2 otaq,4/22,167 m²
1412,1412,Memar Əcəmi m.,https://bina.az//items/3631077,dünən 18:42,78 500AZN,3 otaq,12/16,45 m²
1413,1413,Elmlər Akademiyası m.,https://bina.az//items/3617670,dünən 18:42,345 000AZN,3 otaq,11/16,150 m²
1414,1414,Qara Qarayev m.,https://bina.az//items/3631076,dünən 18:42,265 000AZN,3 otaq,6/6,122 m²
1415,1415,İnşaatçılar m.,https://bina.az//items/3631075,dünən 18:42,266 000AZN,2 otaq,10/16,132 m²
1416,1416,28 May m.,https://bina.az//items/3513897,dünən 18:41,2 450 000AZN,2 otaq,12/20,920 m²
1417,1417,8 Noyabr m.,https://bina.az//items/3631074,dünən 18:41,188 490AZN,3 otaq,8/20,103 m²
1418,1418,Xırdalan,https://bina.az//items/3631078,dünən 18:41,105 000AZN,4 otaq,6/8,7 m²
1419,1419,Şah İsmayıl Xətai m.,https://bina.az//items/3599803,dünən 18:40,342 002AZN,3 otaq,2/2,2 m²
1420,1420,Ağ şəhər q.,https://bina.az//items/2881101,dünən 18:40,466 000AZN,4 otaq,8/20,200 m²
1421,1421,Bakıxanov q.,https://bina.az//items/3556233,dünən 18:42,117 000AZN,3 otaq,18/20,80 m²
1422,1422,Sumqayıt,https://bina.az//items/3631072,dünən 18:40,54 000AZN,2 otaq,18/20,76 m²
1423,1423,Şah İsmayıl Xətai m.,https://bina.az//items/2881149,dünən 18:40,396 100AZN,3 otaq,18/20,170 m²
1424,1424,Şah İsmayıl Xətai m.,https://bina.az//items/3041484,dünən 18:40,253 400AZN,1 otaq,15/16,5 m²
1425,1425,Şah İsmayıl Xətai m.,https://bina.az//items/2583700,dünən 18:39,367 865AZN,3 otaq,3/12,7 m²
1426,1426,Şah İsmayıl Xətai m.,https://bina.az//items/3041318,dünən 18:39,204 900AZN,4 otaq,18/20,3 m²
1427,1427,Şah İsmayıl Xətai m.,https://bina.az//items/3631071,dünən 18:39,240 000AZN,1 otaq,12/17,110 m²
1428,1428,Nəsimi r.,https://bina.az//items/3021447,dünən 18:39,850 000AZN,3 otaq,3/9,210 m²
1429,1429,Neftçilər m.,https://bina.az//items/3631066,dünən 18:41,189 000AZN,3 otaq,15/19,100 m²
1430,1430,Nəsimi r.,https://bina.az//items/3586457,dünən 18:38,245 000AZN,2 otaq,16/17,86 m²
1431,1431,Nəsimi r.,https://bina.az//items/3129185,dünən 18:38,450 000AZN,2 otaq,14/17,5 m²
1432,1432,Nizami m.,https://bina.az//items/3597766,dünən 18:37,205 000AZN,2 otaq,19/20,95 m²
1433,1433,Şah İsmayıl Xətai m.,https://bina.az//items/3486884,dünən 18:37,245 000AZN,2 otaq,6/6,5 m²
1434,1434,Masazır q.,https://bina.az//items/3631063,dünən 18:37,62 000AZN,2 otaq,5/5,70 m²
1435,1435,İnşaatçılar m.,https://bina.az//items/3435316,dünən 18:49,85 000AZN,2 otaq,5/5,40 m²
1436,1436,28 May m.,https://bina.az//items/3571576,dünən 18:36,136 000AZN,3 otaq,5/16,60 m²
1437,1437,Qara Qarayev m.,https://bina.az//items/3631062,dünən 18:36,232 000AZN,2 otaq,12/17,150 m²
1438,1438,Nizami m.,https://bina.az//items/3586430,dünən 18:36,275 000AZN,2 otaq,1/6,95 m²
1439,1439,8 Noyabr m.,https://bina.az//items/3631061,dünən 18:37,156 000AZN,2 otaq,19/19,78 m²
1440,1440,Şah İsmayıl Xətai m.,https://bina.az//items/3565274,dünən 18:37,170 000AZN,2 otaq,18/18,94 m²
1441,1441,Nərimanov r.,https://bina.az//items/3563003,dünən 18:35,179 000AZN,3 otaq,4/5,80 m²
1442,1442,Memar Əcəmi m.,https://bina.az//items/3631059,dünən 18:35,117 000AZN,2 otaq,3/17,80 m²
1443,1443,Həzi Aslanov m.,https://bina.az//items/3348711,dünən 18:35,140 000AZN,2 otaq,4/9,103 m²
1444,1444,Həzi Aslanov m.,https://bina.az//items/3563359,dünən 18:35,114 000AZN,3 otaq,18/18,60 m²
1445,1445,İçəri Şəhər m.,https://bina.az//items/3399118,dünən 18:34,625 000AZN,2 otaq,17/17,107 m²
1446,1446,Nərimanov r.,https://bina.az//items/3563273,dünən 18:34,195 000AZN,2 otaq,19/19,110 m²
1447,1447,Memar Əcəmi m.,https://bina.az//items/3495208,dünən 18:34,132 000AZN,2 otaq,2/9,64 m²
1448,1448,İnşaatçılar m.,https://bina.az//items/3614874,dünən 18:33,169 000AZN,2 otaq,7/16,60 m²
1449,1449,Yasamal r.,https://bina.az//items/3498967,dünən 18:33,2 500 000AZN,3 otaq,13/14,1700 m²
1450,1450,Nəsimi r.,https://bina.az//items/3615189,dünən 18:33,299 000AZN,3 otaq,11/16,100 m²
1451,1451,Nəriman Nərimanov m.,https://bina.az//items/3614882,dünən 18:32,310 000AZN,3 otaq,15/17,110 m²
1452,1452,8 Noyabr m.,https://bina.az//items/3614998,dünən 18:32,285 000AZN,3 otaq,3/16,138 m²
1453,1453,Azadlıq Prospekti m.,https://bina.az//items/3614970,dünən 18:32,230 000AZN,3 otaq,6/17,110 m²
1454,1454,Nəsimi r.,https://bina.az//items/3614918,dünən 18:32,520 000AZN,4 otaq,17/20,192 m²
1455,1455,Qobustan q.,https://bina.az//items/3631054,dünən 18:32,29 000AZN,3 otaq,5/18,10000 m²
1456,1456,Binə q.,https://bina.az//items/3631053,dünən 18:32,57 000AZN,3 otaq,4/20,100 m²
1457,1457,İnşaatçılar m.,https://bina.az//items/3628200,dünən 18:32,170 000AZN,2 otaq,2/16,75 m²
1458,1458,Sabunçu r.,https://bina.az//items/3631051,dünən 18:31,92 000AZN,2 otaq,5/5,55 m²
1459,1459,Həzi Aslanov m.,https://bina.az//items/3498712,dünən 18:30,140 000AZN,2 otaq,12/17,105 m²
1460,1460,Memar Əcəmi m.,https://bina.az//items/3561464,dünən 18:30,96 500AZN,3 otaq,5/16,55 m²
1461,1461,Memar Əcəmi m.,https://bina.az//items/3561822,dünən 18:30,145 000AZN,3 otaq,5/17,100 m²
1462,1462,Qara Qarayev m.,https://bina.az//items/3631048,dünən 18:30,232 000AZN,3 otaq,4/17,145 m²
1463,1463,Nəriman Nərimanov m.,https://bina.az//items/3631046,dünən 18:30,165 000AZN,2 otaq,10/19,54 m²
1464,1464,Nərimanov r.,https://bina.az//items/3502670,dünən 18:29,385 000AZN,4 otaq,15/16,174 m²
1465,1465,Həzi Aslanov m.,https://bina.az//items/3631045,dünən 18:29,145 000AZN,2 otaq,13/16,86 m²
1466,1466,Nəsimi r.,https://bina.az//items/3624898,dünən 18:29,750 000AZN,6 otaq,4/16,270 m²
1467,1467,Nərimanov r.,https://bina.az//items/3598302,dünən 18:29,325 000AZN,3 otaq,4/5,138 m²
1468,1468,Nəriman Nərimanov m.,https://bina.az//items/3602565,dünən 18:28,188 000AZN,2 otaq,7/16,80 m²
1469,1469,İçəri Şəhər m.,https://bina.az//items/3200879,dünən 18:28,270 000AZN,4 otaq,6/19,120 m²
1470,1470,Əhmədli m.,https://bina.az//items/3631043,dünən 18:28,165 000AZN,3 otaq,15/19,105 m²
1471,1471,Xırdalan,https://bina.az//items/3584884,dünən 18:27,68 000AZN,2 otaq,2/4,54 m²
1472,1472,Nəriman Nərimanov m.,https://bina.az//items/3631041,dünən 18:27,330 000AZN,3 otaq,4/16,114 m²
1473,1473,8 Noyabr m.,https://bina.az//items/3631037,dünən 18:26,230 000AZN,3 otaq,13/18,145 m²
1474,1474,Şüvəlan q.,https://bina.az//items/3570466,dünən 18:26,285 000AZN,3 otaq,7/18,180 m²
1475,1475,Neftçilər m.,https://bina.az//items/3631035,dünən 18:26,198 000AZN,2 otaq,5/6,130 m²
1476,1476,Xırdalan,https://bina.az//items/3587474,dünən 18:26,52 000AZN,3 otaq,3/16,46 m²
1477,1477,Şah İsmayıl Xətai m.,https://bina.az//items/3631034,dünən 18:26,235 000AZN,3 otaq,8/16,117 m²
1478,1478,Qara Qarayev m.,https://bina.az//items/3631030,dünən 18:25,283 000AZN,3 sot,3/20,120 m²
1479,1479,Həzi Aslanov m.,https://bina.az//items/3582208,dünən 18:25,110 000AZN,8 otaq,3/15,1300 m²
1480,1480,20 Yanvar m.,https://bina.az//items/3449671,dünən 18:24,1 999 999AZN,2 otaq,18/21,85 m²
1481,1481,Gənclik m.,https://bina.az//items/3595838,dünən 18:24,190 000AZN,3 otaq,7/20,130 m²
1482,1482,Şah İsmayıl Xətai m.,https://bina.az//items/3330701,dünən 18:24,330 000AZN,4 otaq,1/14,140 m²
1483,1483,Əhmədli m.,https://bina.az//items/3623683,dünən 18:24,130 000AZN,3 otaq,4/17,120 m²
1484,1484,İnşaatçılar m.,https://bina.az//items/3631029,dünən 18:24,195 000AZN,6 sot,5/5,5000 m²
1485,1485,Badamdar q.,https://bina.az//items/2683954,dünən 18:24,1 800 000AZN,3 otaq,11/16,163 m²
